iter	Passed	Remaining
225	2344	8028
226	2354	8017
227	2365	8008
228	2378	8007
229	2388	7996
230	2400	7989
231	2411	7981
232	2421	7971
233	2435	7973
234	2450	7975
235	2460	7965
236	2470	7952
237	2480	7940
238	2489	7926
239	2499	7913
240	2508	7901
241	2518	7888
242	2528	7877
243	2537	7863
244	2547	7849
245	2557	7839
246	2567	7827
247	2577	7814
248	2587	7802
249	2596	7790
250	2606	7777
251	2615	7764
252	2625	7752
253	2635	7739
254	2645	7728
255	2654	7714
256	2663	7700
257	2673	7688
258	2682	7675
259	2692	7663
260	2702	7652
261	2712	7639
262	2722	7628
263	2732	7616
264	2741	7604
265	2751	7591
266	2760	7578
267	2771	7568
268	2781	7557
269	2790	7545
270	2800	7532
271	2810	7522
272	2820	7509
273	2830	7499
274	2839	7486
275	2849	7474
276	2858	7462
277	2868	7450
278	2878	7438
279	2888	7428
280	2901	7424
281	2913	7417
282	2922	7405
283	2932	7393
284	2944	7386
285	2955	7377
286	2965	7367
287	2977	7360
288	2988	7351
289	2998	7340
290	3009	7331
291	3019	7321
292	3033	7319
293	3043	7309
294	3053	7298
295	3065	7289
296	3074	7278
297	3086	7271
298	3097	7261
299	3108	7252
300	3117	7240
301	3128	7230
302	3137	7218
303	3147	7206
304	3159	7198
305	3169	7188
306	3179	7176
307	3189	7166
308	3199	7155
309	3209	7144
310	3220	7134
311	3230	7124
312	3240	7111
313	3250	7100
314	3260	7090
315	3270	7079
316	3280	7068
317	3291	7059
318	3301	7048
319	3312	7039
320	3327	7038
321	3341	7035
322	3351	7024
323	3361	7013
324	3372	7003
325	3384	6996
326	3397	6992
327	3410	6986
328	3430	6996
329	3446	6998
330	3459	6992
331	3470	6983
332	3485	6980
333	3501	6981
334	3514	6976
335	3528	6973
336	3543	6970
337	3554	6960
338	3564	6949
339	3574	6938
340	3584	6926
341	3594	6915
342	3604	6904
343	3614	6893
344	3625	6882
345	3636	6872
346	3646	6861
347	3657	6852
348	3667	6840
349	3676	6828
350	3686	6815
351	3695	6803
352	3705	6791
353	3714	6778
354	3724	6767
355	3735	6756
356	3745	6745
357	3754	6733
358	3763	6720
359	3773	6708
360	3782	6695
361	3792	6683
362	3802	6673
363	3812	6661
364	3821	6648
365	3830	6635
366	3840	6624
367	3850	6612
368	3859	6600
369	3869	6587
370	3878	6575
371	3888	6563
372	3897	6551
373	3907	6540
374	3917	6529
375	3928	6519
376	3938	6508
377	3951	6502
378	3961	6490
379	3970	6478
380	3980	6467
381	3992	6458
382	4002	6447
383	4016	6442
384	4027	6433
385	4037	6422
386	4048	6412
387	4059	6402
388	4068	6390
389	4079	6380
390	4090	6371
391	4100	6360
392	4112	6351
393	4123	6341
394	4134	6332
395	4145	6322
396	4156	6313
397	4166	6302
398	4177	6292
399	4187	6281
400	4204	6280
401	4217	6274
402	4228	6263
403	4240	6256
404	4253	6249
405	4266	6241
406	4276	6230
407	4285	6218
408	4295	6206
409	4304	6194
